date,weightclass,fighter,rank
9/1/2026,Bantamweight,Aiemann Zahabi,7
9/1/2026,Bantamweight,Aiemann Zahabi,13
9/1/2026,Bantamweight,Bryce Mitchell,14
9/1/2026,Bantamweight,Charles Jourdain,12
9/1/2026,Bantamweight,Cory Sandhagen,6
9/1/2026,Bantamweight,Cory Sandhagen,6
9/1/2026,Bantamweight,David Martinez,7
9/1/2026,Bantamweight,David Martinez,8
9/1/2026,Bantamweight,Deiveson Figueiredo,9
9/1/2026,Bantamweight,Deiveson Figueiredo,11
9/1/2026,Bantamweight,Farid Basharat,9
9/1/2026,Bantamweight,Farid Basharat,14
9/1/2026,Bantamweight,Marcus McGhee,10
9/1/2026,Bantamweight,Marcus McGhee,15
9/1/2026,Bantamweight,Mario Bautista,4
9/1/2026,Bantamweight,Mario Bautista,5
9/1/2026,Bantamweight,Marlon Vera,10
9/1/2026,Bantamweight,Merab Dvalishvili,1
9/1/2026,Bantamweight,Merab Dvalishvili,1
9/1/2026,Bantamweight,Montel Jackson,15
9/1/2026,Bantamweight,Payton Talbott,11
9/1/2026,Bantamweight,Petr Yan,0
9/1/2026,Bantamweight,Petr Yan,0
9/1/2026,Bantamweight,Raoni Barcelos,8
9/1/2026,Bantamweight,Raoni Barcelos,13
9/1/2026,Bantamweight,Raul Rosas Jr.,12
9/1/2026,Bantamweight,Sean O'Malley,2
9/1/2026,Bantamweight,Sean O'Malley,2
9/1/2026,Bantamweight,Song Yadong,3
9/1/2026,Bantamweight,Song Yadong,3
9/1/2026,Bantamweight,Umar Nurmagomedov,4
9/1/2026,Bantamweight,Umar Nurmagomedov,5
9/1/2026,Featherweight,Aaron Pico,12
9/1/2026,Featherweight,Aaron Pico,13
9/1/2026,Featherweight,Alexander Volkanovski,0
9/1/2026,Featherweight,Alexander Volkanovski,0
9/1/2026,Featherweight,Aljamain Sterling,4
9/1/2026,Featherweight,Aljamain Sterling,4
9/1/2026,Featherweight,Arnold Allen,5
9/1/2026,Featherweight,Arnold Allen,7
9/1/2026,Featherweight,Brian Ortega,11
9/1/2026,Featherweight,David Onama,14
9/1/2026,Featherweight,Diego Lopes,2
9/1/2026,Featherweight,Diego Lopes,2
9/1/2026,Featherweight,Jamall Emmers,14
9/1/2026,Featherweight,Jean Silva,6
9/1/2026,Featherweight,Jean Silva,6
9/1/2026,Featherweight,Jose Miguel Delgado,15
9/1/2026,Featherweight,Kevin Vallejos,9
9/1/2026,Featherweight,Kevin Vallejos,10
9/1/2026,Featherweight,Lerone Murphy,3
9/1/2026,Featherweight,Lerone Murphy,3
9/1/2026,Featherweight,Melquizael Costa,11
9/1/2026,Featherweight,Melquizael Costa,13
9/1/2026,Featherweight,Movsar Evloev,1
9/1/2026,Featherweight,Movsar Evloev,1
9/1/2026,Featherweight,Nathaniel Wood,8
9/1/2026,Featherweight,Pat Sabatini,7
9/1/2026,Featherweight,Patricio Pitbull,15
9/1/2026,Featherweight,Steve Garcia,10
9/1/2026,Featherweight,Steve Garcia,12
9/1/2026,Featherweight,Yair Rodriguez,5
9/1/2026,Featherweight,Youssef Zalal,8
9/1/2026,Featherweight,Youssef Zalal,9
9/1/2026,Flyweight,Alessandro Costa,15
9/1/2026,Flyweight,Alex Perez,15
9/1/2026,Flyweight,Alexandre Pantoja,1
9/1/2026,Flyweight,Alexandre Pantoja,1
9/1/2026,Flyweight,Amir Albazi,9
9/1/2026,Flyweight,Amir Albazi,9
9/1/2026,Flyweight,Asu Almabayev,5
9/1/2026,Flyweight,Asu Almabayev,7
9/1/2026,Flyweight,Brandon Moreno,8
9/1/2026,Flyweight,Brandon Moreno,10
9/1/2026,Flyweight,Brandon Royval,3
9/1/2026,Flyweight,Brandon Royval,3
9/1/2026,Flyweight,Charles Johnson,14
9/1/2026,Flyweight,Joshua Van,0
9/1/2026,Flyweight,Joshua Van,0
9/1/2026,Flyweight,Kyoji Horiguchi,5
9/1/2026,Flyweight,Kyoji Horiguchi,8
9/1/2026,Flyweight,Lone’er Kavanagh,6
9/1/2026,Flyweight,Lone’er Kavanagh,6
9/1/2026,Flyweight,Manel Kape,2
9/1/2026,Flyweight,Manel Kape,2
9/1/2026,Flyweight,Mitch Raposo,12
9/1/2026,Flyweight,Ramazan Temirov,7
9/1/2026,Flyweight,Ramazan Temirov,10
9/1/2026,Flyweight,Rei Tsuruya,13
9/1/2026,Flyweight,Steve Erceg,11
9/1/2026,Flyweight,Sumudaerji,11
9/1/2026,Flyweight,Sumudaerji,13
9/1/2026,Flyweight,Tagir Ulanbekov,14
9/1/2026,Flyweight,Tatsuro Taira,4
9/1/2026,Flyweight,Tatsuro Taira,4
9/1/2026,Flyweight,Tim Elliott,12
9/1/2026,Heavyweight,Aleksandar Rakić,13
9/1/2026,Heavyweight,Alex Pereira,4
9/1/2026,Heavyweight,Alexander Volkov,2
9/1/2026,Heavyweight,Alexander Volkov,2
9/1/2026,Heavyweight,Ante Delija,10
9/1/2026,Heavyweight,Brando Peričić,11
9/1/2026,Heavyweight,Ciryl Gane,1
9/1/2026,Heavyweight,Ciryl Gane,1
9/1/2026,Heavyweight,Curtis Blaydes,6
9/1/2026,Heavyweight,Curtis Blaydes,10
9/1/2026,Heavyweight,Derrick Lewis,12
9/1/2026,Heavyweight,Josh Hokit,4
9/1/2026,Heavyweight,Josh Hokit,6
9/1/2026,Heavyweight,Marcin Tybura,15
9/1/2026,Heavyweight,Mario Pinto,12
9/1/2026,Heavyweight,Mick Parkin,14
9/1/2026,Heavyweight,Rizvan Kuniev,5
9/1/2026,Heavyweight,Rizvan Kuniev,7
9/1/2026,Heavyweight,Ryan Spann,15
9/1/2026,Heavyweight,Sergei Pavlovich,3
9/1/2026,Heavyweight,Sergei Pavlovich,3
9/1/2026,Heavyweight,Serghei Spivac,9
9/1/2026,Heavyweight,Serghei Spivac,13
9/1/2026,Heavyweight,Tom Aspinall,0
9/1/2026,Heavyweight,Tom Aspinall,0
9/1/2026,Heavyweight,Tyrell Fortune,14
9/1/2026,Heavyweight,Valter Walker,9
9/1/2026,Heavyweight,Valter Walker,11
9/1/2026,Heavyweight,Vitor Petrino,8
9/1/2026,Heavyweight,Vitor Petrino,8
9/1/2026,Heavyweight,Waldo Cortes Acosta,5
9/1/2026,Heavyweight,Waldo Cortes Acosta,7
9/1/2026,Light Heavyweight,Alex Pereira,1
9/1/2026,Light Heavyweight,Alex Pereira,3
9/1/2026,Light Heavyweight,Alonzo Menifield,13
9/1/2026,Light Heavyweight,Alonzo Menifield,14
9/1/2026,Light Heavyweight,Azamat Murzakanov,8
9/1/2026,Light Heavyweight,Azamat Murzakanov,10
9/1/2026,Light Heavyweight,Bogdan Guskov,11
9/1/2026,Light Heavyweight,Bogdan Guskov,11
9/1/2026,Light Heavyweight,Carlos Ulberg,0
9/1/2026,Light Heavyweight,Carlos Ulberg,0
9/1/2026,Light Heavyweight,Dominick Reyes,8
9/1/2026,Light Heavyweight,Dominick Reyes,10
9/1/2026,Light Heavyweight,Jamahal Hill,5
9/1/2026,Light Heavyweight,Jamahal Hill,7
9/1/2026,Light Heavyweight,Jan Błachowicz,9
9/1/2026,Light Heavyweight,Jiří Procházka,2
9/1/2026,Light Heavyweight,Jiří Procházka,3
9/1/2026,Light Heavyweight,Johnny Walker,13
9/1/2026,Light Heavyweight,Johnny Walker,14
9/1/2026,Light Heavyweight,Khalil Rountree Jr.,4
9/1/2026,Light Heavyweight,Khalil Rountree Jr.,6
9/1/2026,Light Heavyweight,Magomed Ankalaev,1
9/1/2026,Light Heavyweight,Magomed Ankalaev,2
9/1/2026,Light Heavyweight,Muhammad Saidov,15
9/1/2026,Light Heavyweight,Navajo Stirling,5
9/1/2026,Light Heavyweight,Navajo Stirling,7
9/1/2026,Light Heavyweight,Nikita Krylov,15
9/1/2026,Light Heavyweight,Paulo Costa,4
9/1/2026,Light Heavyweight,Paulo Costa,6
9/1/2026,Light Heavyweight,Reinier de Ridder,9
